nohup: ignoring input
[208/9446] ok: https://www.adzuna.com.au/details/5284221806?utm_medium=api&utm_source
[209/9446] ok: https://www.adzuna.com.au/details/5284226205?utm_medium=api&utm_source
[210/9446] ok: https://www.adzuna.com.au/details/5286347906?utm_medium=api&utm_source
[211/9446] ok: https://www.adzuna.com.au/details/5287145144?utm_medium=api&utm_source
[212/9446] ok: https://www.adzuna.com.au/details/5287145617?utm_medium=api&utm_source
[213/9446] ok: https://www.adzuna.com.au/details/5287155370?utm_medium=api&utm_source
[214/9446] ok: https://www.adzuna.com.au/details/5288768034?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5289908700?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5289908700?utm_medium=api&utm_source=4e892bd2
[215/9446] no description: https://www.adzuna.com.au/details/5289908700?utm_medium=api&utm_source
[216/9446] ok: https://www.adzuna.com.au/details/5291596064?utm_medium=api&utm_source
[217/9446] ok: https://www.adzuna.com.au/details/5296082147?utm_medium=api&utm_source
[218/9446] ok: https://www.adzuna.com.au/details/5297133236?utm_medium=api&utm_source
[219/9446] ok: https://www.adzuna.com.au/details/5297134411?utm_medium=api&utm_source
[220/9446] ok: https://www.adzuna.com.au/details/5297142006?utm_medium=api&utm_source
[221/9446] ok: https://www.adzuna.com.au/details/5298898007?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5301484360?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5301484360?utm_medium=api&utm_source=4e892bd2
[222/9446] no description: https://www.adzuna.com.au/details/5301484360?utm_medium=api&utm_source
[223/9446] ok: https://www.adzuna.com.au/details/5302957172?utm_medium=api&utm_source
[224/9446] ok: https://www.adzuna.com.au/details/5303429522?utm_medium=api&utm_source
[225/9446] ok: https://www.adzuna.com.au/details/5309300328?utm_medium=api&utm_source
[226/9446] ok: https://www.adzuna.com.au/details/5309470304?utm_medium=api&utm_source
[227/9446] ok: https://www.adzuna.com.au/details/5309578811?utm_medium=api&utm_source
[228/9446] ok: https://www.adzuna.com.au/details/5309578818?utm_medium=api&utm_source
[229/9446] ok: https://www.adzuna.com.au/details/5314033422?utm_medium=api&utm_source
[230/9446] ok: https://www.adzuna.com.au/details/5315885286?utm_medium=api&utm_source
[231/9446] ok: https://www.adzuna.com.au/details/5322802440?utm_medium=api&utm_source
[232/9446] ok: https://www.adzuna.com.au/details/5326451444?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5326452761?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5326452761?utm_medium=api&utm_source=4e892bd2
[233/9446] no description: https://www.adzuna.com.au/details/5326452761?utm_medium=api&utm_source
[234/9446] ok: https://www.adzuna.com.au/details/5326453718?utm_medium=api&utm_source
[235/9446] ok: https://www.adzuna.com.au/details/5327685166?utm_medium=api&utm_source
[236/9446] ok: https://www.adzuna.com.au/details/5328149720?utm_medium=api&utm_source
[237/9446] ok: https://www.adzuna.com.au/details/5329280625?utm_medium=api&utm_source
[238/9446] ok: https://www.adzuna.com.au/details/5329628724?utm_medium=api&utm_source
[239/9446] ok: https://www.adzuna.com.au/details/5329630043?utm_medium=api&utm_source
[240/9446] ok: https://www.adzuna.com.au/details/5329630224?utm_medium=api&utm_source
[241/9446] ok: https://www.adzuna.com.au/details/5329634920?utm_medium=api&utm_source
[242/9446] ok: https://www.adzuna.com.au/details/5329636561?utm_medium=api&utm_source
[243/9446] ok: https://www.adzuna.com.au/details/5331394472?utm_medium=api&utm_source
[244/9446] ok: https://www.adzuna.com.au/details/5331783059?utm_medium=api&utm_source
[245/9446] ok: https://www.adzuna.com.au/details/5331791878?utm_medium=api&utm_source
[246/9446] ok: https://www.adzuna.com.au/details/5334290512?utm_medium=api&utm_source
[247/9446] ok: https://www.adzuna.com.au/details/5335909509?utm_medium=api&utm_source
[248/9446] ok: https://www.adzuna.com.au/details/5335911375?utm_medium=api&utm_source
[249/9446] ok: https://www.adzuna.com.au/details/5335911654?utm_medium=api&utm_source
[250/9446] ok: https://www.adzuna.com.au/details/5337281945?utm_medium=api&utm_source
Saved. 0:17:59.113191 elapsed, ~11.0h remaining
[251/9446] ok: https://www.adzuna.com.au/details/5338130007?utm_medium=api&utm_source
[252/9446] ok: https://www.adzuna.com.au/details/5341421564?utm_medium=api&utm_source
[253/9446] ok: https://www.adzuna.com.au/details/5341706902?utm_medium=api&utm_source
[254/9446] ok: https://www.adzuna.com.au/details/5341711176?utm_medium=api&utm_source
[255/9446] ok: https://www.adzuna.com.au/details/5341719349?utm_medium=api&utm_source
[256/9446] ok: https://www.adzuna.com.au/details/5343183412?utm_medium=api&utm_source
[257/9446] ok: https://www.adzuna.com.au/details/5343541337?utm_medium=api&utm_source
[258/9446] ok: https://www.adzuna.com.au/details/5345285719?utm_medium=api&utm_source
[259/9446] ok: https://www.adzuna.com.au/details/5345286386?utm_medium=api&utm_source
[260/9446] ok: https://www.adzuna.com.au/details/5346678607?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5346679666?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5346679666?utm_medium=api&utm_source=4e892bd2
[261/9446] no description: https://www.adzuna.com.au/details/5346679666?utm_medium=api&utm_source
[262/9446] ok: https://www.adzuna.com.au/details/5346680055?utm_medium=api&utm_source
[263/9446] ok: https://www.adzuna.com.au/details/5348921892?utm_medium=api&utm_source
[264/9446] ok: https://www.adzuna.com.au/details/5350348118?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5352201911?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5352201911?utm_medium=api&utm_source=4e892bd2
[265/9446] no description: https://www.adzuna.com.au/details/5352201911?utm_medium=api&utm_source
[266/9446] ok: https://www.adzuna.com.au/details/5355170595?utm_medium=api&utm_source
[267/9446] ok: https://www.adzuna.com.au/details/5355172214?utm_medium=api&utm_source
[268/9446] ok: https://www.adzuna.com.au/details/5355173478?utm_medium=api&utm_source
[269/9446] ok: https://www.adzuna.com.au/details/5356389938?utm_medium=api&utm_source
[270/9446] ok: https://www.adzuna.com.au/details/5358583535?utm_medium=api&utm_source
[271/9446] ok: https://www.adzuna.com.au/details/5358583929?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5358584369?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5358584369?utm_medium=api&utm_source=4e892bd2
[272/9446] no description: https://www.adzuna.com.au/details/5358584369?utm_medium=api&utm_source
[273/9446] ok: https://www.adzuna.com.au/details/5360017432?utm_medium=api&utm_source
[274/9446] ok: https://www.adzuna.com.au/details/5363264506?utm_medium=api&utm_source
[275/9446] ok: https://www.adzuna.com.au/details/5363420577?utm_medium=api&utm_source
[276/9446] ok: https://www.adzuna.com.au/details/5363427406?utm_medium=api&utm_source
[277/9446] ok: https://www.adzuna.com.au/details/5365234594?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5370146104?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5370146104?utm_medium=api&utm_source=4e892bd2
[278/9446] no description: https://www.adzuna.com.au/details/5370146104?utm_medium=api&utm_source
[279/9446] ok: https://www.adzuna.com.au/details/5371252057?utm_medium=api&utm_source
[280/9446] ok: https://www.adzuna.com.au/details/5373286020?utm_medium=api&utm_source
[281/9446] ok: https://www.adzuna.com.au/details/5375042257?utm_medium=api&utm_source
[282/9446] ok: https://www.adzuna.com.au/details/5379206469?utm_medium=api&utm_source
[283/9446] ok: https://www.adzuna.com.au/details/5380953416?utm_medium=api&utm_source
[284/9446] ok: https://www.adzuna.com.au/details/5381061386?utm_medium=api&utm_source
[285/9446] ok: https://www.adzuna.com.au/details/5381230703?utm_medium=api&utm_source
